name,address,ticker,sector
3M Company,"St. Paul, Minnesota",MMM,Industrials
Abbott Laboratories,"North Chicago, Illinois",ABT,Health Care
AbbVie Inc.,"North Chicago, Illinois",ABBV,Health Care
Accenture plc,"Dublin, Ireland",ACN,Information Technology
Activision Blizzard,"Santa Monica, California",ATVI,Information Technology
Acuity Brands Inc,"Atlanta, Georgia",AYI,Industrials
Adobe Systems Inc,"San Jose, California",ADBE,Information Technology
Advanced Micro Devices Inc,"Sunnyvale, California",AMD,Information Technology
Advance Auto Parts,"Roanoke, Virginia",AAP,Consumer Discretionary
AES Corp,"Arlington, Virginia",AES,Utilities
Aetna Inc,"Hartford, Connecticut",AET,Health Care
Affiliated Managers Group Inc,"Beverly, Massachusetts",AMG,Financials
AFLAC Inc,"Columbus, Georgia",AFL,Financials
Agilent Technologies Inc,"Santa Clara, California",A,Health Care
Air Products & Chemicals Inc,"Allentown, Pennsylvania",APD,Materials
Akamai Technologies Inc,"Cambridge, Massachusetts",AKAM,Information Technology
Alaska Air Group Inc,"Seattle, Washington",ALK,Industrials
Albemarle Corp,"Baton Rouge, Louisiana",ALB,Materials
Alexandria Real Estate Equities Inc,"Pasadena, California",ARE,Real Estate
Alexion Pharmaceuticals,"Cheshire, Connecticut",ALXN,Health Care
Align Technology,"San Jose, California",ALGN,Health Care
Allegion,"Dublin, Ireland",ALLE,Industrials
"Allergan, Plc","Dublin, Ireland",AGN,Health Care
Alliance Data Systems,"Plano, Texas",ADS,Information Technology
Alliant Energy Corp,"Madison, Wisconsin",LNT,Utilities
Allstate Corp,"Northfield Township, Illinois",ALL,Financials
Alphabet Inc Class A,"Mountain View, California",GOOGL,Information Technology
Alphabet Inc Class C,"Mountain View, California",GOOG,Information Technology
Altria Group Inc,"Richmond, Virginia",MO,Consumer Staples
Amazon.com Inc.,"Seattle, Washington",AMZN,Consumer Discretionary
Ameren Corp,"St. Louis, Missouri",AEE,Utilities
American Airlines Group,"Fort Worth, Texas",AAL,Industrials
American Electric Power,"Columbus, Ohio",AEP,Utilities
American Express Co,"New York, New York",AXP,Financials
"American International Group, Inc.","New York, New York",AIG,Financials
American Tower Corp A,"Boston, Massachusetts",AMT,Real Estate
American Water Works Company Inc,"Voorhees, New Jersey",AWK,Utilities
Ameriprise Financial,"Minneapolis, Minnesota",AMP,Financials
AmerisourceBergen Corp,"Chesterbrook, Pennsylvania",ABC,Health Care
AMETEK Inc.,"Berwyn, Pennsylvania",AME,Industrials
Amgen Inc.,"Thousand Oaks, California",AMGN,Health Care
Amphenol Corp,"Wallingford, Connecticut",APH,Information Technology
Anadarko Petroleum Corp,"The Woodlands, Texas",APC,Energy
"Analog Devices, Inc.","Norwood, Massachusetts",ADI,Information Technology
Andeavor,"San Antonio, Texas",ANDV,Energy
ANSYS,"Canonsburg, Pennsylvania",ANSS,Information Technology
Anthem Inc.,"Indianapolis, Indiana",ANTM,Health Care
Aon plc,"London, United Kingdom",AON,Financials
A.O. Smith Corp,"Milwaukee, Wisconsin",AOS,Industrials
Apache Corporation,"Houston, Texas",APA,Energy
Apartment Investment & Management,"Denver, Colorado",AIV,Real Estate
Apple Inc.,"Cupertino, California",AAPL,Information Technology
Applied Materials Inc.,"Santa Clara, California",AMAT,Information Technology
Aptiv Plc,"Gillingham, Kent, United Kingdom",APTV,Consumer Discretionary
Archer-Daniels-Midland Co,"Decatur, Illinois",ADM,Consumer Staples
Arconic Inc.,"New York, New York",ARNC,Industrials
Arthur J. Gallagher & Co.,"Itasca, Illinois",AJG,Financials
Assurant Inc.,"New York, New York",AIZ,Financials
AT&T Inc.,"Dallas, Texas",T,Telecommunication Services
Autodesk Inc.,"San Rafael, California",ADSK,Information Technology
Automatic Data Processing,"Roseland, New Jersey",ADP,Information Technology
AutoZone Inc,"Memphis, Tennessee",AZO,Consumer Discretionary
"AvalonBay Communities, Inc.","Arlington, Virginia[3]",AVB,Real Estate
Avery Dennison Corp,"Glendale, California",AVY,Materials
"Baker Hughes, a GE Company","Houston, Texas",BHGE,Energy
Ball Corp,"Broomfield, Colorado",BLL,Materials
Bank of America Corp,"Charlotte, North Carolina",BAC,Financials
The Bank of New York Mellon Corp.,"New York, New York",BK,Financials
Baxter International Inc.,"Deerfield, Illinois",BAX,Health Care
BB&T Corporation,"Winston-Salem, North Carolina",BBT,Financials
Becton Dickinson,"Franklin Lakes, New Jersey",BDX,Health Care
Berkshire Hathaway,"Omaha, Nebraska",BRK.B,Financials
Best Buy Co. Inc.,"Richfield, Minnesota",BBY,Consumer Discretionary
Biogen Inc.,"Weston, Massachusetts",BIIB,Health Care
BlackRock,"New York, New York",BLK,Financials
Block H&R,"Kansas City, Missouri",HRB,Financials
Boeing Company,"Chicago, Illinois",BA,Industrials
Booking Holdings Inc,"Norwalk, Connecticut",BKNG,Consumer Discretionary
BorgWarner,"Auburn Hills, Michigan",BWA,Consumer Discretionary
Boston Properties,"Boston, Massachusetts",BXP,Real Estate
Boston Scientific,"Marlborough, Massachusetts[4]",BSX,Health Care
Brighthouse Financial Inc,"Charlotte, North Carolina",BHF,Financials
