calendardate,de,pe1,ps1,pb,netmargin,marketcap,ev,evebitda,revenueusd,gp,ebitda,netinccmnusd,epsdil,debtusd,currentratio,bvps,ncfo,depamor,sbcomp,ncfi,capex,ncfbus,ncfinv,ncff,ncfdebt,ncfcommon,ncfdiv,ncfx,ncf,roic,sps,payoutratio,roa,roe,ros,tangibles,tbvps,workingcapital,price,SpPrice,priceChange,SpPriceChange,Status,Diff
2008-03-31,1.153,15.048,2.221,4.449,0.153,55321783203,58776783203,8.701,6463000000,3127000000,1781000000,988000000,1.38,6182000000,1.69,17.601,997000000,268000000,38000000,-464000000,-294000000,-16000000,-154000000,315000000,1122000000,-431000000,-353000000,-17000000,831000000,,35.369,0.357,,,,21217000000,30.031,4625000000,78.55,1447.160034,,,underperform,
2008-06-30,1.183,13.261,1.925,3.912,0.14,49034176700,53495176700,7.867,6739000000,3229000000,1734000000,945000000,1.33,6008000000,1.508,17.854,1243000000,285000000,64000000,-1003000000,-332000000,-448000000,-166000000,-1432000000,-809000000,-434000000,-351000000,12000000,-1180000000,,36.441,0.37,,,,20590000000,29.326,3552000000,70.15,1447.160034,-0.0010693825588796934,0.0,underperform,-0.0010693825588796934
2008-09-30,1.263,11.952,1.722,3.652,0.151,44557008879,49353008879,7.146,6558000000,3126000000,1815000000,991000000,1.41,7036000000,1.539,17.543,1168000000,293000000,41000000,-542000000,-302000000,-282000000,-15000000,214000000,1181000000,-475000000,-348000000,-147000000,693000000,,37.334,0.35,,,,20773000000,29.868,3780000000,64.3,1411.630005,-0.0008339272986457602,-0.0002455155488352853,underperform,-0.0005884117498104748
2008-12-31,1.586,9.58,1.312,3.33,0.097,32899595585,37768595585,5.887,5509000000,2408000000,1086000000,536000000,0.78,6718000000,1.644,14.257,1125000000,307000000,38000000,-390000000,-456000000,-560000000,626000000,-863000000,-457000000,-2000000,-346000000,-263000000,-391000000,,36.14,0.641,,,,18396000000,26.549,3759000000,47.42,1416.180054,-0.0026251944012441676,3.22325891620584e-05,underperform,-0.002657426990406226
2009-03-31,1.458,13.429,1.68,4.128,0.102,40190940363,44592940363,7.812,5089000000,2317000000,1073000000,518000000,0.74,6034000000,1.829,14.04,695000000,271000000,83000000,-18000000,-229000000,-9000000,220000000,-907000000,-598000000,34000000,-354000000,13000000,-217000000,,34.456,0.68,,,,17403000000,25.094,3919000000,57.88,1390.189941,0.002205820328975116,-0.00018352265961231958,underperform,0.0023893429885874355
2009-06-30,1.377,17.284,2.148,4.559,0.137,49245573084,52729573084,9.656,5719000000,2742000000,1487000000,783000000,1.12,6080000000,1.861,15.504,1466000000,298000000,49000000,-357000000,-168000000,-3000000,-180000000,-220000000,-42000000,185000000,-355000000,75000000,964000000,,32.829,0.455,,,,18975000000,27.232,4580000000,70.52,1409.130005,0.0021838286109191417,0.00013624083617218383,outperform,0.002047587774746958
2009-09-30,1.19,18.347,2.297,4.214,0.155,52084489776,54970489776,10.165,6193000000,3022000000,1762000000,957000000,1.35,6125000000,1.942,17.587,1736000000,290000000,40000000,-701000000,-170000000,-48000000,-483000000,-290000000,6000000,62000000,-361000000,-102000000,643000000,,32.029,0.375,,,,20380000000,28.998,5430000000,73.57,1420.329956,0.0004325014180374358,7.948131797818085e-05,outperform,0.00035302010005925494
2009-12-31,1.093,17.531,2.422,4.458,0.153,56895966157,59565966157,9.999,6122000000,2933000000,1635000000,935000000,1.31,5710000000,2.204,18.005,1044000000,298000000,31000000,-656000000,-262000000,-4000000,-396000000,-597000000,-380000000,133000000,-361000000,10000000,-199000000,,33.009,0.386,,,,20076000000,28.32,5898000000,79.94,1401.02002,0.0008658420551855382,-0.0001359538740869879,outperform,0.001001795929272526
2010-03-31,1.045,16.945,2.528,4.551,0.147,61744564008,64674564008,9.804,6348000000,3110000000,1713000000,930000000,1.29,5778000000,2.352,19.059,1082000000,287000000,100000000,-987000000,-154000000,-17000000,-753000000,-275000000,-38000000,131000000,-374000000,-12000000,-192000000,,34.254,0.401,,,,21001000000,29.504,6958000000,86.59,1416.25,0.0008318739054290727,0.0001087063695206873,outperform,0.0007231675359083854
2010-06-30,1.019,15.827,2.476,4.492,0.167,62755820864,65410820864,9.386,6731000000,3296000000,1859000000,1121000000,1.54,5677000000,2.371,19.554,1138000000,272000000,35000000,-451000000,-179000000,-13000000,-259000000,-423000000,-30000000,-138000000,-375000000,-90000000,174000000,,35.541,0.334,,,,21608000000,30.242,7454000000,88.0,1380.949951,0.00016283635523732493,-0.0002492501253309793,outperform,0.0004120864805683042
